,model,pooling,mv_window_size,mv_window_shift_frac,per_cls_precision_0,per_cls_precision_1,per_cls_precision_2,per_cls_precision_3,per_cls_recall_0,per_cls_recall_1,per_cls_recall_2,per_cls_recall_3,macro_precision,macro_recall,macro_f1,overall_accuracy
86,BERT,sum,128,1.0,0.9981250461054032,0.9077983627740142,0.7457020057253174,0.7445887445565113,0.9966546082515366,0.957437140259802,0.7856603773525611,0.5657894736655991,0.8490535397903115,0.8263853998823747,0.8375661185843098,0.9948109975872033
87,BERT,sum,256,0.25,0.9984197134604591,0.9331282502007374,0.9448217317407062,0.8093023255437534,0.9979845805062693,0.9648591335951493,0.8399999999936605,0.5723684210338037,0.921418005236414,0.8438030337822208,0.8809041888915755,0.9964433588513896
88,BERT,sum,256,0.5,0.9983071802576484,0.9317664340793743,0.9246231155701456,0.819819819782891,0.9979027360598243,0.9607694637981211,0.8332075471635231,0.5986842105066222,0.9186291374225148,0.8476409893820227,0.8817085163753126,0.9962547039607598
89,BERT,sum,256,1.0,0.9980854287820256,0.9230600453441651,0.8101460415003064,0.7316017315700605,0.9973257327123863,0.9558467131165133,0.7954716981072041,0.555921052613292,0.8657233117991394,0.8261412991373489,0.8454692800507209,0.9954405091696206
90,BERT,sum,512,0.25,0.9983850367204373,0.9355670103085894,0.9377076411882251,0.8133333332971852,0.9980255027294919,0.962208421689668,0.8520754716916825,0.6019736841907245,0.9212482553786092,0.8535707700753918,0.8861191671555193,0.9964632172609296
91,BERT,sum,512,0.5,0.9982704875587471,0.9339580873664891,0.9214226633505259,0.8193832598757981,0.9979538888388524,0.9585731596478653,0.8407547169747869,0.6118421052430315,0.91825862453789,0.852280967676134,0.884040490390009,0.9962745623702998
92,BERT,sum,512,1.0,0.9980409095747526,0.9283498301071588,0.841900311519923,0.7131474103301535,0.9975508049401104,0.951832777945356,0.8158490565976163,0.5888157894543152,0.870359615382997,0.8385121072343494,0.8541390921467062,0.9956271782192965
93,BERT,sum,1024,0.25,0.9980360065466244,0.938115120786655,0.953427065017984,0.818604651124716,0.9981748688442541,0.9528930627075485,0.8188679245221219,0.5789473684020083,0.9270457108689949,0.8372208061189832,0.8798466053629032,0.9962626473245758
94,BERT,sum,1024,0.5,0.9979214402618454,0.935416511297684,0.9339130434701399,0.7961165048157225,0.998060286619231,0.9499394122985837,0.8105660377297317,0.5394736841927804,0.915841874961348,0.8245098552100817,0.867779350909063,0.996028318092004
95,BERT,sum,1024,1.0,0.9976268509539445,0.931474941768028,0.8741721854232272,0.7195121950927027,0.9977697388343509,0.9388821569214337,0.7969811320694568,0.5822368420861106,0.8806965433094757,0.828967467477838,0.8540494205259578,0.9954464666924826
96,BERT,asymmetric-max,128,0.25,0.9991723677898514,0.8587121964126406,0.4905103331906769,0.6305555555380401,0.9930207148293749,0.9827325053006795,0.8777358490499795,0.7467105262912266,0.7447376132328023,0.9000498988678152,0.8150609175550848,0.9922989087803957
97,BERT,asymmetric-max,128,0.5,0.9988624183261328,0.8882312456979433,0.6326297775206353,0.7112676056087581,0.9953184976633207,0.9774310814897171,0.8369811320691549,0.6644736841886686,0.8077477617883674,0.8685510988527153,0.8370466846747916,0.9942331178695898
98,BERT,asymmetric-max,128,1.0,0.9980108573184268,0.9141764111441358,0.7319434102700526,0.7339449540947731,0.996822389366749,0.9591790366548324,0.7418867924472311,0.5263157894563711,0.8445189082068472,0.806051001981296,0.8248366868029263,0.9948805020205932
99,BERT,asymmetric-max,256,0.25,0.9991103477040396,0.8876011521047266,0.6113989637274021,0.6416184970912827,0.994970658765929,0.9802332626469401,0.8905660377291279,0.730263157870715,0.7849322401568627,0.899008279253178,0.8381062991588992,0.9941497125495219
100,BERT,asymmetric-max,256,0.5,0.9987980670620944,0.9072899041166755,0.7332041343621887,0.6877192982214835,0.9963783832447846,0.9746289003324942,0.8566037735784408,0.6447368420840547,0.8317528509406105,0.8680869748099436,0.8495315864200473,0.9952280241875429
101,BERT,asymmetric-max,256,1.0,0.9980119528519366,0.9253862488094563,0.8110671936694778,0.7187499999679129,0.9973727932690923,0.9571342017563184,0.7743396226356655,0.5296052631404735,0.8633038488246958,0.8146129702003875,0.8382519327672809,0.9954484525334366
102,BERT,asymmetric-max,512,0.25,0.9989985409069156,0.9072092368340557,0.6952941176429689,0.6021505376182218,0.9960489593478431,0.9759163889722993,0.8920754716913807,0.7368421052389197,0.8009131082505405,0.9002207313126107,0.847668258687944,0.995091001161717
103,BERT,asymmetric-max,512,0.5,0.9986761074279186,0.9223566695470165,0.7896193771571653,0.690391459050164,0.9970883838176956,0.969857618902628,0.8611320754651991,0.63815789471585,0.8502609032955661,0.8665589932253431,0.8583325828645418,0.9957999463822942
104,BERT,asymmetric-max,512,1.0,0.9979475531272497,0.9367182846925723,0.8534201954327898,0.7318181817849173,0.997851583280796,0.9528930627075485,0.7909433962204457,0.5296052631404735,0.8799760537593824,0.8178233263373159,0.8477620472483434,0.9958456207242362
105,BERT,asymmetric-max,1024,0.25,0.9987833626379283,0.905807365438452,0.7329153604969724,0.5215419501015524,0.99607965101526,0.9686458648886938,0.8822641509367377,0.7565789473435336,0.7897620096687263,0.9008921535460563,0.841674671203064,0.9949162471577652
106,BERT,asymmetric-max,1024,0.5,0.9983591411814389,0.9227017978012062,0.8302308265016365,0.5925925925743026,0.9971886432645909,0.9600878521652831,0.8415094339559132,0.6315789473476454,0.835971089514646,0.8575912191833581,0.8466431473393532,0.9955854755592625
107,BERT,asymmetric-max,1024,1.0,0.9974966867913211,0.9361927055795995,0.8794449262716441,0.6958525345301451,0.9979457043942079,0.9389578915473046,0.7652830188621489,0.4967105262994503,0.8772467132931774,0.799724285275778,0.8366936544688207,0.9954841976706086
108,BERT,gaussian,128,0.25,0.9985011395025298,0.92505229748184,0.9463636363550332,0.822510822475216,0.9977636005008675,0.9712208421683041,0.7856603773525611,0.6249999999794408,0.9231069739536548,0.8449112050002934,0.8822798663274072,0.9962844915750697
109,BERT,gaussian,128,0.5,0.9984271802905825,0.9188083273503813,0.9382379654774002,0.7907949790464103,0.9975344360508214,0.9693274765215318,0.7796226415035501,0.6217105262953384,0.9115671130411935,0.8420487700928103,0.8754299837253302,0.995994558795786
110,BERT,gaussian,128,1.0,0.9980108573184268,0.9141764111441358,0.7319434102700526,0.7339449540947731,0.996822389366749,0.9591790366548324,0.7418867924472311,0.5263157894563711,0.8445189082068472,0.806051001981296,0.8248366868029263,0.9948805020205932
111,BERT,gaussian,256,0.25,0.998438235595108,0.9341575828510248,0.9598953792418493,0.844221105485215,0.9980664249527144,0.967055437745405,0.8309433962201439,0.5526315789291897,0.9341780757932993,0.8371742094618633,0.883020045412483,0.9965446367400435
112,BERT,gaussian,256,0.5,0.9984135010040799,0.9315348158943262,0.9491673970118392,0.7783018867557404,0.9979334277272411,0.9675855801265013,0.8173584905598691,0.5427631578768828,0.9143544001664964,0.8314101640726237,0.8709118664460033,0.9963877553046776
113,BERT,gaussian,256,1.0,0.9980119528519366,0.9253862488094563,0.8110671936694778,0.7187499999679129,0.9973727932690923,0.9571342017563184,0.7743396226356655,0.5296052631404735,0.8633038488246958,0.8146129702003875,0.8382519327672809,0.9954484525334366
114,BERT,gaussian,512,0.25,0.9982708768598101,0.9388872447462718,0.9500860585116172,0.839999999958,0.9981789610665763,0.9610724023016047,0.8332075471635231,0.5526315789291897,0.9318110450189248,0.8362726223652235,0.8814606187867089,0.9965029340800096
115,BERT,gaussian,512,0.5,0.9981603992690503,0.9367229129655589,0.9384748700091987,0.7766990290885097,0.9980807477308423,0.9585731596478653,0.8173584905598691,0.5263157894563711,0.9125143028330794,0.825082046848737,0.8665984646723525,0.9962844915750697
116,BERT,gaussian,512,1.0,0.9979475531272497,0.9367182846925723,0.8534201954327898,0.7318181817849173,0.997851583280796,0.9528930627075485,0.7909433962204457,0.5296052631404735,0.8799760537593824,0.8178233263373159,0.8477620472483434,0.9958456207242362
117,BERT,gaussian,1024,0.25,0.9978648341871748,0.9437914406261725,0.9475088967887233,0.7990654205234081,0.9983201427366941,0.9486519236587786,0.8037735848995943,0.5624999999814967,0.9220576480313697,0.8283114128191409,0.872674095835627,0.9962427889150358
118,BERT,gaussian,1024,0.5,0.9977685739121338,0.9404770863112796,0.9422903516596729,0.6776859503852196,0.9981625921772873,0.9465313541343937,0.7886792452770667,0.5394736841927804,0.8895554905670765,0.818211718945382,0.8523933692110319,0.9959806579091081
119,BERT,gaussian,1024,1.0,0.9974966867913211,0.9361927055795995,0.8794449262716441,0.6958525345301451,0.9979457043942079,0.9389578915473046,0.7652830188621489,0.4967105262994503,0.8772467132931774,0.799724285275778,0.8366936544688207,0.9954841976706086
